N,P,Q,Res P,Res Q
9234800,72307,9162493,7,13
9234800,72469,9162331,19,1
9234800,72481,9162319,1,19
9234800,72649,9162151,19,1
9234800,72763,9162037,13,7
9234800,72883,9161917,13,7
9234800,72901,9161899,1,19
9234800,72931,9161869,1,19
9234800,73009,9161791,19,1
9234800,73189,9161611,19,1
9234800,73243,9161557,13,7
9234800,73303,9161497,13,7
9234800,73327,9161473,7,13
9234800,73363,9161437,13,7
9234800,73369,9161431,19,1
9234800,73387,9161413,7,13
9234800,73561,9161239,1,19
9234800,73597,9161203,7,13
9234800,73651,9161149,1,19
9234800,73699,9161101,19,1
9234800,74017,9160783,7,13
9234800,74071,9160729,1,19
9234800,74287,9160513,7,13
9234800,74317,9160483,7,13
9234800,74323,9160477,13,7
9234800,74413,9160387,13,7
9234800,74419,9160381,19,1
9234800,74449,9160351,19,1
9234800,74527,9160273,7,13
9234800,74587,9160213,7,13
9234800,74611,9160189,1,19
9234800,74713,9160087,13,7
9234800,74731,9160069,1,19
9234800,74941,9159859,1,19
9234800,75253,9159547,13,7
9234800,75289,9159511,19,1
9234800,75367,9159433,7,13
9234800,75511,9159289,1,19
9234800,75541,9159259,1,19
9234800,75553,9159247,13,7
9234800,75583,9159217,13,7
9234800,75703,9159097,13,7
9234800,75787,9159013,7,13
9234800,75997,9158803,7,13
9234800,76003,9158797,13,7
9234800,76099,9158701,19,1
9234800,76207,9158593,7,13
9234800,76303,9158497,13,7
9234800,76471,9158329,1,19
9234800,76537,9158263,7,13
9234800,76579,9158221,19,1
9234800,76603,9158197,13,7
9234800,76831,9157969,1,19
9234800,77017,9157783,7,13
9234800,77137,9157663,7,13
9234800,77191,9157609,1,19
9234800,77317,9157483,7,13
9234800,77347,9157453,7,13
9234800,77479,9157321,19,1
9234800,77527,9157273,7,13
9234800,77551,9157249,1,19
9234800,77569,9157231,19,1
9234800,77713,9157087,13,7
9234800,77797,9157003,7,13
9234800,78007,9156793,7,13
9234800,78139,9156661,19,1
9234800,78193,9156607,13,7
9234800,78259,9156541,19,1
9234800,78607,9156193,7,13
9234800,78823,9155977,13,7
9234800,78979,9155821,19,1
9234800,79063,9155737,13,7
9234800,79273,9155527,13,7
9234800,79561,9155239,1,19
9234800,79657,9155143,7,13
9234800,79699,9155101,19,1
9234800,79777,9155023,7,13
9234800,79861,9154939,1,19
9234800,79867,9154933,7,13
9234800,79873,9154927,13,7
9234800,80071,9154729,1,19
9234800,80107,9154693,7,13
9234800,80209,9154591,19,1
9234800,80251,9154549,1,19
9234800,80491,9154309,1,19
9234800,80701,9154099,1,19
9234800,80761,9154039,1,19
9234800,80803,9153997,13,7
9234800,80989,9153811,19,1
9234800,81001,9153799,1,19
9234800,81163,9153637,13,7
9234800,81349,9153451,19,1
9234800,81457,9153343,7,13
9234800,81463,9153337,13,7
9234800,81637,9153163,7,13
9234800,81727,9153073,7,13
9234800,81769,9153031,19,1
9234800,81853,9152947,13,7
9234800,81937,9152863,7,13
9234800,82003,9152797,13,7
9234800,82009,9152791,19,1
9234800,82021,9152779,1,19
9234800,82039,9152761,19,1
9234800,82183,9152617,13,7
9234800,82219,9152581,19,1
9234800,82231,9152569,1,19
9234800,82339,9152461,19,1
9234800,82507,9152293,7,13
9234800,82651,9152149,1,19
9234800,82837,9151963,7,13
9234800,83023,9151777,13,7
9234800,83059,9151741,19,1
9234800,83227,9151573,7,13
9234800,83341,9151459,1,19
9234800,83389,9151411,19,1
9234800,83443,9151357,13,7
9234800,83557,9151243,7,13
9234800,83563,9151237,13,7
9234800,83617,9151183,7,13
9234800,83653,9151147,13,7
9234800,83719,9151081,19,1
9234800,83761,9151039,1,19
9234800,83857,9150943,7,13
9234800,84067,9150733,7,13
9234800,84163,9150637,13,7
9234800,84223,9150577,13,7
9234800,84349,9150451,19,1
9234800,84523,9150277,13,7
9234800,84559,9150241,19,1
9234800,84991,9149809,1,19
9234800,85201,9149599,1,19
9234800,85237,9149563,7,13
9234800,85381,9149419,1,19
9234800,85549,9149251,19,1
9234800,85843,9148957,13,7
9234800,86161,9148639,1,19
9234800,86209,9148591,19,1
9234800,86239,9148561,19,1
9234800,86263,9148537,13,7
9234800,86341,9148459,1,19
9234800,86413,9148387,13,7
9234800,86467,9148333,7,13
9234800,86491,9148309,1,19
9234800,86533,9148267,13,7
9234800,86929,9147871,19,1
9234800,87037,9147763,7,13
9234800,87133,9147667,13,7
9234800,87187,9147613,7,13
9234800,87313,9147487,13,7
9234800,87427,9147373,7,13
9234800,87433,9147367,13,7
9234800,87517,9147283,7,13
9234800,87547,9147253,7,13
9234800,87793,9147007,13,7
